id,code
product.product_uom_cm,CMT
product.product_uom_qt,GLL
product.product_uom_day,DAY
product.product_uom_dozen,DZN
product.product_uom_floz,OZI
product.product_uom_gram,GR
product.product_uom_gal,GLL
product.product_uom_hour,HUR
product.product_uom_kgm,KGM
product.product_uom_km,KTM
product.product_uom_lb,LBR
product.product_uom_litre,LTR
product.product_uom_meter,MTR
product.product_uom_mile,SMI
product.product_uom_oz,ONZ
product.product_uom_foot,FOT
product.product_uom_inch,INH
product.product_uom_ton,LTN
product.product_uom_unit,NIU
